Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 30100,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Facial Wash,Tea Tree,1324,4.76,3,"['2 FL OZ', '8.4 FL OZ', '13.5 FL OZ']","['$4.50', '$10.50', '$13.50']","Our Tea Tree Skin Clearing Facial Wash,  infused with Community Trade Tea Tree Oil, cleanses blemished skin. A refreshing lather removes impurities and excess oil, leaving skin feeling purified. Use daily for less shiny, mattified, visibly clearer results.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Deeply cleanses blemished skin ', 'Refreshing on skin ', 'Suitable for blemished skin']"
ITEM 96119,Makeup,Makeup Remover,Chamomile Gentle Eye Makeup Remover,Chamomile,423,4.29,2,"['8.4 FL OZ', '2 FL OZ']","['$13.50', '$4.50']","Melt away eye make-up around the eyes. Our Chamomile eye make-up remover gently cleanses, leaving the skin smooth and clean.","['Suitable for sensitive skin and contact lens wearers', 'Chamomile extract from Norfolk, England', 'Removes eye makeup', 'No added fragrance, color or alcohol', 'Leaves lashes and lids feeling softer and clean', ' Enriched with community trade  Chamomile from England']"
ITEM 96145,Skin Care,Face Cleansers,Chamomile Sumptuous Cleansing Butter,Chamomile,271,4.82,1,['2.7 Ounce'],['$12.00'],"Cleanse and nourish your skin with our rich Chamomile Sumptuous Cleansing Butter. A luxurious way to remove every last trace of makeup, while purifying, cleansing and refreshing your skin, leaving it soft to the touch.","['Cleansing Butter', ' Suitable for sensitive skin and contact lens wearers', ' Clean and silky-soft feel', 'Removes all types of makeup', ' Enriched with community trade  Chamomile from England']"
ITEM 30106,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Mattifying Toner,Tea Tree,606,4.64,3,"['2 FL OZ', '8.4 FL OZ', '13.5 FL OZ']","['$4.50', '$10.50', '$13.50']","Our Tea Tree Skin Clearing Mattifying Toner helps skin looks visibly clearer 
and tone  in one step. Enriched with Community Trade Tea Tree Oil, with shake-to-activate mattifying powders, this toner leaves skin feeling clean, refreshed and visibly clearer. Use after cleansing to remove any residual traces of make-up and impurities, which can clog the pores. ","['Refreshing, purifying toner', ' 100% vegan', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Removes residual make-up and impurities', 'Suitable for oily skin', 'Shake-to-activate mattifying powders reduce shine', 'Skin appears visibly clearer', 'Pores appear tighter', ' Combine with  Tea Tree Oil Pore Minimizer  to visibly reduce the appearance of pores Learn how to get clearer looking skin!', ' Enriched with community trade ', ' Tea Tree Oilfrom the foothills of Mount Kenya.']"
ITEM 94351,Collection,Tea Tree Oil For Skin,Tea Tree Squeaky-Clean Exfoliating Face Scrub,Tea Tree,137,4.67,1,['3.3 FL OZ'],['$12.00'],"Our Tea Tree Squeaky-Clean Scrub is a gentle daily facial exfoliator for blemished skin. Enriched with Community Trade Tea Tree Oil, the scrub gently buffs the skin’s surface to remove impurities and dead skin cells. Skin is left feeling smoother, appearing clearer and shine-free.  ","['100% vegetarian', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Leaves skin looking clearer, with pores appearing unclogged', 'Suitable for blemished skin']"
ITEM 94697,Skin Care,Face Cleansers,Drops of Youth™ Youth Liquid Peel,Edelweiss Stem Cells,318,4.69,1,['4.9 FL OZ'],['$18.75'],"The Drops of Youth™ Youth Liquid Peel exfoliates and gently peels off impurities from your skin, lifting dead skin cells and residuals. Infused with a blend of three plant stem cells, this revolutionary gel-to-peel leaves skin clean and purified from the day’s pollutants. Continued use will leave a fresh, smoother and more luminous youthful-looking skin.
","['100% vegetarian', ' With three plant stem cells:  edelweiss  from the Italian Alps,  sea holly and  criste marine from the Brittany Coast', ' Instantly feels like dead skin cells are lifted (88% agree*)', ' Peels off impurities and pollutants (88% agree*)', ' Skin feels cleansed from day’s pollution (86% agree*)', ' Dermatologically tested', ' *when tested on 109 women']"
ITEM 96941,Skin Care,Face Masks,Tea Tree 3-in-1 Wash Scrub Mask,Tea Tree,169,4.81,1,['4.2 FL OZ'],['$16.50'],"Our Tea Tree 3-in-1 Wash.Scrub.Mask gives you three products in one to help battle blemishes and excess oil. When used as a wash, the foaming product removes impurities and excess oil; as a scrub, the exfoliants unclog pores to leave skin feeling smoother. When applied as a mask, the drying clay deeply cleanses and mattifies and helps maintain clearer looking skin.","['100% vegan ', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya ', 'Soothes and calms skin while absorbing excess oil ', 'Clay mask for blemished skin']"
ITEM 94703,Skin Care,Face Cleansers,Vitamin C Glow Revealing Liquid Peel,Camu Camu,173,4.53,1,['4.9 FL OZ'],['$17.25'],The Vitamin C Glow Revealing Liquid Peel specifically targets pollutants that are left sitting on the skin at the end of the day.,"['This transforming gel-to-peel texture peels away dull, tired city skin for a happy healthy glow', 'The PH of the gel helps to release surface cells', 'Contains our most potent Camu Camu Berry. 60 times more Vitamin C concentration than an orange!', ' Learn how to get glowing skin! ', ' Enriched with community trade  Camu Camu from Peru']"
ITEM 96083,Skin Care,Face Cleansers,Vitamin E Cream Cleanser,Shea,176,4.58,1,['8.4 FL OZ'],['$12.75'],"Our Vitamin E Cream Cleanser is a light and creamy cleanser that gently lifts dirt, makeup and impurities to leave skin feeling soft, supple and smooth. This cleanser contains wheatgerm oil to hydrate & protect from moisture loss, making it especially effective for dry and dull skin types.","['Perfect for all skin types, especially dry & dull skin', 'Contains antioxidants to protect skin from free radicals', 'Helps improve smoothness of skin', 'Pairs perfectly with our  Vitamin E Nourishing Night Cream ', 'Enriched with Community Trade Shea Butter from Ghana']"
ITEM 26958,Collection,Tea Tree Oil For Skin,Tea Tree Skin Clearing Foaming Cleanser,Tea Tree,250,4.66,1,['5 FL OZ'],['$11.25'],"Our Tea Tree Skin Clearing Foaming Cleanser is an instantly foaming daily
 facial wash, formulated to be gentle on blemished skin. Enriched with Community Trade Tea Tree Oil, it cleanses without over drying, leaving oily skin feeling fresh and matte.
","['100% vegan', 'Enriched with Community Trade Tea Tree Oil from the foothills of Mount Kenya', 'Mild, gentle and refreshing on blemished skin', 'Suitable for oily, blemished skin ']"
ITEM 48512,Skin Care,Moisturizers,Vitamin E Aqua Boost Essence Lotion,Aloe Vera,43,4.65,1,['5.4 FL OZ'],['$16.50'],"The Body Shop's Vitamin E Aqua Boost Essence Lotion is the first essential skincare step after cleansing and toning your face. This lightweight, jellified formula instantly feels non-greasy and comfortable on the skin, while providing 48 hours of moisturization. It contains wheatgrass oil with antioxidant properties that protect against free radicals all day long. Use this essence lotion to instantly plump your skin with quenching moisture for softer, more supple results.","['Skin feels instantly replenished with moisture', 'Skin feels softer, smoother and more supple', 'Penetrates quickly with a non-sticky feel', 'Antioxidant properties protect against free radicals', 'Powered with Bio fermented Hyaluronic Acid', 'Pairs perfectly with our Vitamin E Moisture Cream', 'Enriched with Vitamin E and Wheatgerm Oil from Pomacle, France']"
